SAMPLE,CONDITION,REP
Rg120h,Rg120h,1
Rg120h,Rg120h,2
Rg120h,Rg120h,3
Rg13h,Rg13h,1
Rg13h,Rg13h,2
Rg13h,Rg13h,3
Rg1_5h,Rg1_5h,1
Rg1_5h,Rg1_5h,2
Rg1_5h,Rg1_5h,3
Rg17_5,Rg17_5,1
Rg17_5,Rg17_5,2
Rg17_5,Rg17_5,3
Rg22h,Rg22h,1
Rg22h,Rg22h,2
Rg22h,Rg22h,3
